CONTROL_JOB_NO,REGION_NAME,BUSINESS_UNIT,OFFICE_NAME,CITY,STATE,CORE_MARKET,MARKET_SECTOR,PROJECT_TYPE,TOTAL_CONTROL_ESTIMATE,BUILDING_SIZE
PROJECT_0524,Northeast,Boston,Boston,Worcester,MA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1344709.0,1520.0
PROJECT_0061,Northwest,Sacramento,Sacramento,Santa Rosa,CA,Clinical Infrastructure,,Hospitals,0.0,0.0
PROJECT_0139,Southwest,SoCal,Newport Beach,Los Angeles,CA,Clinical Infrastructure,,Hospitals,777668.0,
PROJECT_0156,Southwest,SoCal,Newport Beach,,,Advanced Systems & Innovation,,Advanced Manufacturing,165000.0,50000.0
PROJECT_0371,Southeast,Atlanta,Atlanta,Norcross,GA,Biomedical Facilities,BF-Medical Device,R&amp;D Building (Laboratories),598035587.23,1100000.0
PROJECT_0523,Northeast,Boston,Boston,Smithfield,RI,Biomedical Facilities,,Biopharm Manufacturing,4351833.0,55000.0
PROJECT_0025,Northwest,Bay Area,Silicon Valley,Berkeley,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,1425346.0,2000.0
PROJECT_0033,Northwest,Bay Area,Silicon Valley,South San Francisco,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),713305.0,600.0
PROJECT_0273,Central,Dallas FTW,Dallas FTW,Denton,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,2003986.0,1100.0
PROJECT_0321,Northeast,DC - Baltimore,Washington DC,Dulles,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,59242758.0,24.0
PROJECT_0035,Northwest,Bay Area,Silicon Valley,Berkeley,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,570914.0,1000.0
PROJECT_0529,Northeast,Boston,Boston,Foxboro,MA,Clinical Infrastructure,,Hospitals,165774.0,1100.0
PROJECT_0418,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,,Mission Critical,1993026.0,55000.0
PROJECT_0432,Southeast,Central Florida,Tampa,LUTZ,FL,Other,,Mission Critical,9237273.0,150000.0
PROJECT_0477,Southeast,Charlotte-Greenville,Charlotte,Matthews,NC,Clinical Infrastructure,,Hospitals,717752.0,88000.0
PROJECT_0235,Central,Austin,Austin,Abilene,TX,Advanced Systems & Innovation,,Mission Critical,844832024.0,948000.0
PROJECT_0489,Southeast,Nashville,Nashville,Nashville,TN,Clinical Infrastructure,CI-Healthcare Provider,R&amp;D Building (Laboratories),17141052.0,5800.0
PROJECT_0393,Southeast,South Florida,South Florida,Pembroke Pines,FL,Clinical Infrastructure,,Outpatient Healthcare,2617922.0,30000.0
PROJECT_0559,,,,Englewood,CO,Clinical Infrastructure,,Hospitals,163099050.82,
PROJECT_0533,Northeast,Boston,Boston,Warwick,MA,Clinical Infrastructure,,Outpatient Healthcare,4101677.0,95450.0
PROJECT_0029,Northwest,Bay Area,Silicon Valley,Foster City,CA,Other,,Advanced Manufacturing,10880.0,880.0
PROJECT_0086,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,Other,0.0,1046120.0
PROJECT_0081,Northwest,Bay Area,San Francisco,San Francisco,CA,Academic Institutions,AI-Public,Education/Classroom Space,142972466.0,184000.0
PROJECT_0006,Northwest,Bay Area,Silicon Valley,Mountain View,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,460208.0,4000.0
PROJECT_0261,Central,Dallas FTW,Dallas FTW,Ft. Worth,TX,Clinical Infrastructure,CI-Healthcare Provider,Other,439380.0,182152.0
PROJECT_0570,,,,Denver,CO,Advanced Systems & Innovation,,Mission Critical,857888.0,7000.0
PROJECT_0413,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,,Mission Critical,46592624.0,192000.0
PROJECT_0078,Northwest,Sacramento,Sacramento,Sacramento,CA,Clinical Infrastructure,,Hospitals,0.0,40000.0
PROJECT_0223,Central,Austin,Austin,Austin,TX,Corporate & Workplace,,Residential,0.0,757000.0
PROJECT_0241,Central,Austin,Austin,Lakeway,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,483892.0,6000.0
PROJECT_0325,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,1088665.0,0.0
PROJECT_0316,Northeast,DC - Baltimore,Washington DC,Ashburn,VA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,0.0,20.0
PROJECT_0314,Northeast,DC - Baltimore,Washington DC,Sterling,VA,Advanced Systems & Innovation,,Mission Critical,45113868.0,8.0
PROJECT_0527,Northeast,Boston,Boston,Westborough,MA,Advanced Systems & Innovation,,Office,154689.0,10000.0
PROJECT_0185,Southwest,Arizona,Phoenix,Mesa,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,2493782.0,100.0
PROJECT_0276,Central,Dallas FTW,Dallas FTW,Frisco,TX,Clinical Infrastructure,,Hospitals,13465271.0,174000.0
PROJECT_0542,Northwest,Pacific Northwest,Seattle,Tacoma,WA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,273847.27,0.0
PROJECT_0160,Southwest,SoCal,Newport Beach,Vernon,CA,Advanced Systems & Innovation,,Mission Critical,250480.0,286350.0
PROJECT_0014,Northwest,Bay Area,Silicon Valley,Sunnyvale,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),56245.0,24000.0
PROJECT_0207,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1399154.0,800.0
PROJECT_0221,Southwest,Arizona,Tucson,Tucson,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,2333767.0,
PROJECT_0311,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,,Mission Critical,616618.0,4500.0
PROJECT_0287,Central,Dallas FTW,Dallas FTW,Garland,TX,Advanced Systems & Innovation,,Mission Critical,39330.44,12.0
PROJECT_0169,Southwest,Arizona,Phoenix,Mesa,AZ,Advanced Systems & Innovation,,Mission Critical,0.0,1400000.0
PROJECT_0457,Southeast,Central Florida,Orlando,Davenport,FL,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,653152.0,8227.0
PROJECT_0572,,,,Westminster,CO,Clinical Infrastructure,,Hospitals,223658.0,
PROJECT_0249,Central,Austin,Austin,Austin,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,195607.0,715.0
PROJECT_0545,Northwest,Pacific Northwest,Seattle,Seattle,WA,Biomedical Facilities,,R&amp;D Building (Laboratories),51840.0,950.0
PROJECT_0218,Southwest,Arizona,Tucson,Tucson,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,7996410.0,7112.0
PROJECT_0243,Central,Austin,Austin,Austin,TX,Corporate & Workplace,,Office,983205.25,2500.0
PROJECT_0515,Northeast,Boston,Boston,,,Clinical Infrastructure,,Hospitals,45000.0,212000.0
PROJECT_0138,Southwest,SoCal,Newport Beach,San Marino,CA,Other,,Other,838669.0,90000.0
PROJECT_0016,Northwest,Bay Area,Silicon Valley,Livermore,CA,Corporate & Workplace,,Office,0.0,10200.0
PROJECT_0104,Southwest,San Diego,San Diego,San Diego,CA,Clinical Infrastructure,,Hospitals,3778023.0,150000.0
PROJECT_0325,Northeast,DC - Baltimore,Washington DC,Reston,VA,Advanced Systems & Innovation,,Mission Critical,541189.0,0.0
PROJECT_0165,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Clinical Infrastructure,CI-Healthcare Provider,Outpatient Healthcare,9625986.0,59243.0
PROJECT_0460,Southeast,Central Florida,Orlando,Ocala,FL,Other,,Warehouse / Distribution,37500.0,74000.0
PROJECT_0208,Southwest,Arizona,Phoenix,phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,1800.0
PROJECT_0468,Southeast,Charlotte-Greenville,Charlotte,Charlotte,NC,Corporate & Workplace,,Office,277340.0,19600.0
PROJECT_0009,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Advanced Systems & Innovation,ASI-Developer,Mission Critical,888635.0,50000.0
PROJECT_0293,Central,Dallas FTW,Dallas FTW,Irving,TX,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,2228693.0,15700.0
PROJECT_0387,Southeast,Atlanta,Atlanta,Johns Creek,GA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1387307.0,1850.0
PROJECT_0408,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,5622263.0,0.0
PROJECT_0407,Southeast,Raleigh-Durham,Raleigh-Durham,Greenville,NC,Biomedical Facilities,,Biopharm Manufacturing,9736624.0,100000.0
PROJECT_0226,Central,Austin,Austin,Pflugerville,TX,Clinical Infrastructure,,Hospitals,1943522.08,113500.0
PROJECT_0042,Northwest,Bay Area,Silicon Valley,San Jose,CA,Advanced Systems & Innovation,,Mission Critical,6318385.0,300000.0
PROJECT_0233,Central,Austin,Austin,Del Valle,TX,Other,,Other,5278386.0,22.0
PROJECT_0210,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,980504.0,1950.0
PROJECT_0105,Southwest,San Diego,San Diego,Vista,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,34880261.0,3650.0
PROJECT_0402,Southeast,South Florida,South Florida,Miami,FL,Other,,Office,157800.46,10000.0
PROJECT_0116,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,R&amp;D Building (Laboratories),3714183.0,10000.0
PROJECT_0532,Northeast,Boston,Boston,Storrs,CT,Academic Institutions,AI-Public,Sports and Athletics,0.0,190000.0
PROJECT_0505,Northeast,New Jersey,New Jersey,Levittown,PA,Corporate & Workplace,,Mission Critical,842933.0,5000.0
PROJECT_0116,Southwest,San Diego,San Diego,San Diego,CA,Biomedical Facilities,,R&amp;D Building (Laboratories),692896.0,10000.0
PROJECT_0448,Southeast,Central Florida,Orlando,St. Augustine,FL,Academic Institutions,AI-Public,Education/Classroom Space,33356277.0,46560.0
PROJECT_0225,Central,Austin,Austin,Georgetown,TX,Corporate & Workplace,CW-Finance/Banking/Insurance,Mission Critical,50710618.0,30000.0
PROJECT_0455,Southeast,Central Florida,Orlando,Orlando,FL,Other,OTH-Professional Sports,Other,50000.0,30000.0
PROJECT_0263,Central,Dallas FTW,Dallas FTW,Coppell,TX,Biomedical Facilities,,Biopharm Manufacturing,184905.0,12500.0
PROJECT_0509,Northeast,New Jersey,New Jersey,Secaucus,NJ,Advanced Systems & Innovation,,Mission Critical,644627.0,2000.0
PROJECT_0551,,,Colorado Springs (D8-A),Colorado Springs,CO,Advanced Systems & Innovation,ASI-Internet & Telecom,Mission Critical,14374981.0,56000.0
PROJECT_0531,Northeast,Boston,Boston,Westborough,MA,Advanced Systems & Innovation,ASI-Consumer/Commercial Electronics,Office,1540230.0,
PROJECT_0425,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,ASI-Developer,Mission Critical,1097251.0,10000.0
PROJECT_0495,Southeast,Nashville,Nashville,Springfield,TN,Clinical Infrastructure,,Hospitals,0.0,800.0
PROJECT_0186,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,636910.0,1200.0
PROJECT_0424,Southeast,Raleigh-Durham,Raleigh-Durham,Morrisville,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,29412.0,10000.0
PROJECT_0067,Northwest,Sacramento,Sacramento,Santa Rosa,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1261081.0,0.0
PROJECT_0027,Northwest,Bay Area,Silicon Valley,Alameda,CA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Office,3417789.0,
PROJECT_0399,Southeast,South Florida,South Florida,Kendall,FL,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,400000.0
PROJECT_0350,Northeast,Richmond,Richmond,Petersburg,VA,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,0.0,0.0
PROJECT_0413,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Advanced Systems & Innovation,ASI-Developer,Mission Critical,43270414.2,192000.0
PROJECT_0348,Northeast,Richmond,Richmond,Richmond,VA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,20026279.0,27500.0
PROJECT_0034,Northwest,Bay Area,Silicon Valley,Santa Clara,CA,Advanced Systems & Innovation,,Mission Critical,0.0,40000.0
PROJECT_0470,Southeast,Charlotte-Greenville,Charlotte,Charlotte,NC,Advanced Systems & Innovation,ASI-Developer,Mission Critical,16265991.0,
PROJECT_0178,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1408677.12,13000.0
PROJECT_0427,Southeast,Raleigh-Durham,Raleigh-Durham,Durham,NC,Biomedical Facilities,,R&amp;D Building (Laboratories),0.0,9153.0
PROJECT_0559,,,Denver (D8-B),Englewood,CO,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,
PROJECT_0129,Southwest,SoCal,Newport Beach,Thousand Oaks,CA,Biomedical Facilities,,Biopharm Manufacturing,2513435.0,7000.0
PROJECT_0182,Southwest,Arizona,Phoenix,PHOENIX,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,800.0
PROJECT_0345,Northeast,Richmond,Richmond,Sandston,VA,Advanced Systems & Innovation,ASI-Enterprise Technologies,,14377975.0,53.0
PROJECT_0495,Southeast,Nashville,Nashville,Springfield,TN,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,286723.0,800.0
PROJECT_0478,Southeast,Charlotte-Greenville,Charlotte,Concord,NC,Biomedical Facilities,BF-Biotech/Pharmaceutical,Biopharm Manufacturing,622955.27,10000.0
PROJECT_0130,Southwest,SoCal,Newport Beach,,,Corporate & Workplace,,Mission Critical,0.0,45000.0
PROJECT_0251,Central,Austin,Austin,Pflugerville,TX,Clinical Infrastructure,,Hospitals,240510.08,815.0
PROJECT_0121,Southwest,San Diego,San Diego,,,Biomedical Facilities,,R&amp;D Building (Laboratories),678083.0,500.0
PROJECT_0117,Southwest,San Diego,San Diego,La Mesa,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,0.0,350000.0
PROJECT_0567,,,,,,Clinical Infrastructure,,Hospitals,473984.0,5000.0
PROJECT_0479,Southeast,Charlotte-Greenville,Charlotte,Shelby,NC,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,317572.0,225.0
PROJECT_0487,Southeast,Nashville,Nashville,Gallatin,TN,Advanced Systems & Innovation,ASI-Enterprise Technologies,Mission Critical,0.0,360000.0
PROJECT_0452,Southeast,Central Florida,Orlando,Lake Buena Vista,FL,Corporate & Workplace,CW-Hospitality,Hotel / Convention Center,2061158.0,21000.0
PROJECT_0391,Southeast,South Florida,South Florida,Deerfield Beach,FL,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,19169602.0,25000.0
PROJECT_0500,Northeast,New Jersey,New Jersey,,,Corporate & Workplace,,Mission Critical,6674583.51,20000.0
PROJECT_0549,Northwest,Pacific Northwest,Seattle,,,Biomedical Facilities,,Office,44262.0,
PROJECT_0175,Southwest,Arizona,Phoenix,Phoenix,AZ,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,10755365.64,25000.0
PROJECT_0071,Northwest,Sacramento,Sacramento,Sacramento,CA,Clinical Infrastructure,CI-Healthcare Provider,Hospitals,1848132.0,1250.0
